comment,comm_region,comm_time,video_img,video_info,comm_name,video_name,comm_favor
可怜曲弯弯等于搬起石头砸自己的脚,中国:山东:东营,Sat Jun 03 01:59:36 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,想念 - yl/q1,职场是个技术活,2
应采儿自作孽不可活，作死,::,Fri Jun 02 20:59:10 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,雨后的彩虹,职场是个技术活,2
余曼妮你个没脑子,中国:山东:东营,Sat Jun 03 02:05:11 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,想念 - yl/q1,职场是个技术活,1
啦啦啦,中国::,Fri Jun 02 19:35:51 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,之乎者也@,职场是个技术活,2
开头就很好看,阿拉伯联合酋长国::迪拜,Fri Jun 02 20:50:23 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,雨过就会天晴呀,职场是个技术活,1
王耀庆演的电视都很好 喜欢,中国::,Fri Jun 02 20:06:09 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,浅笑微凉爱永久,职场是个技术活,4
嘿嘿嘿,::,Sat Jun 03 00:34:07 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,／ 惟/aiq 一 。 ,职场是个技术活,2
太戏剧化了吧！,中国:重庆:沙坪坝,Sat Jun 03 00:46:22 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,媛  媛    媛,职场是个技术活,1
还可以,::,Sat Jun 03 01:16:30 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,( ^ω^),职场是个技术活,2
开了,中国:山东:东营,Sat Jun 03 01:40:58 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,想念 - yl/q1,职场是个技术活,2
卵用啊？,中国:福建:宁德,Sat Jun 03 02:55:36 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,考拉,职场是个技术活,2
这雪山,中国:福建:福州,Sat Jun 03 04:19:47 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,SuYuChen,职场是个技术活,1
演的好，能学到好多东西哦😄,中国:河南:郑州,Sat Jun 03 05:56:31 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,梦想,职场是个技术活,0
好,中国:陕西:西安,Sat Jun 03 06:01:40 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,侠光之爱,职场是个技术活,1
现代宫斗剧,中国:江苏:镇江,Sat Jun 03 07:49:13 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,戴,职场是个技术活,0
漫画很好看，希望别毁剧，期待……,中国:广东:汕头,Fri Jun 02 15:53:43 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/b/b4e8yjwgokhr0lj_y.jpg,6.9独播,╭迷茫ｸﾞｯ,逆袭之星途璀璨,3
push支持,中国:四川:,Fri Jun 02 15:54:11 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/b/b4e8yjwgokhr0lj_y.jpg,6.9独播,蛹破茧方可成蝶,逆袭之星途璀璨,8
推哥，好久播出,中国:四川:,Fri Jun 02 15:54:59 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/b/b4e8yjwgokhr0lj_y.jpg,6.9独播,蛹破茧方可成蝶,逆袭之星途璀璨,2
好好看,中国:广东:茂名,Sat Jun 03 01:53:34 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,忘记你很痛苦,职场是个技术活,1
不好看,中国:广西:钦州,Fri Jun 02 14:20:02 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,南港💋少年,职场是个技术活,2
还不错,中国:浙江:宁波,Fri Jun 02 14:39:46 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,love  hurt  my  pain,职场是个技术活,3
又是个又长又臭的电视剧，弄个30几集不行吗，每次都是前边看了20来集，直接就看最后了。神马电视剧都整多长，都没心思看了。,中国:重庆:,Fri Jun 02 12:39:55 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,秋oοゞ回忆&#039;,职场是个技术活,3
[色][色][色][色][色],::,Fri Jun 02 14:13:51 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,1989,职场是个技术活,2
,中非共和国::,Fri Jun 02 15:33:26 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,凹凸曼,职场是个技术活,2
喜欢林凡跟许诺在一起，不喜欢沈志泽面对感情考虑这考虑那，还把一个不成在的人来说事，,中国:上海:嘉定,Fri Jun 02 14:41:18 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,柏拉图的永恒,职场是个技术活,11
这里面的女一号漂亮，喜欢,中国:湖北:武汉,Fri Jun 02 16:10:59 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,开水加冰,职场是个技术活,5
酷,中国:河北:邢台,Fri Jun 02 13:25:12 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,🍦萘駕🍿,职场是个技术活,1
只想说一句话爱看不看，如果真讨厌一个人我起码不会关心他动向，中国14亿人口多你一个不多少你一个不少，能火就火不能火就拉倒，比如择天记再烂人家老铁会支持。,中国:福建:泉州,Sat Jun 03 01:44:29 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,ℳ๓₯㎕浅吻,上古情歌,3
终于等到黄晓明的电视剧了,中国:广东:佛山,Sat Jun 03 02:18:10 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,腾讯网友,上古情歌,8
